id;label;Lat;Lng;timeZone
3492908;Santo Domingo - DO;18.47186; -69.89232;America/Santo_Domingo
3347353;Menongue - AO;-14.6585; 17.69099;Africa/Luanda
3052009;Gyor - HU;47.68333; 17.63512;Europe/Budapest
1256320;Sikar - IN;27.61206; 75.13996;Asia/Kolkata
2293521;Abobo - CI;5.41613; -4.0159;Africa/Abidjan
1624647;Tasikmalaya - ID;-7.3274; 108.2207;Asia/Jakarta
1651226;Arjawinangun - ID;-6.64528; 108.41028;Asia/Jakarta
1270801;Gudivada - IN;16.43547; 80.99555;Asia/Kolkata
1274693;Chanda - IN;19.95076; 79.29523;Asia/Kolkata
1897007;Hanam - KR;37.54; 127.20556;Asia/Seoul
12022102;Tumxuk - CN;39.86984; 79.06118;Asia/Urumqi
487495;Sterlitamak - RU;53.62462; 55.95015;Asia/Yekaterinburg
1818673;Tai Po - HK;22.45007; 114.16877;Asia/Hong_Kong
5072006;Lincoln - US;40.8; -96.66696;America/Chicago
1803551;Beiliu - CN;22.70722; 110.34917;Asia/Shanghai
2844588;Rostock - DE;54.0887; 12.14049;Europe/Berlin
1835329;Daegu - KR;35.87028; 128.59111;Asia/Seoul
1258526;Ranchi - IN;23.34316; 85.3094;Asia/Kolkata
2990363;Nimes - FR;43.83665; 4.35788;Europe/Paris
4722625;Richardson - US;32.94818; -96.72972;America/Chicago
2014006;Ussuriysk - RU;43.80291; 131.94578;Asia/Vladivostok
1793346;Tangshan - CN;39.63333; 118.18333;Asia/Shanghai
1798473;Puqi - CN;29.71667; 113.88333;Asia/Shanghai
3685095;Dosquebradas - CO;4.83916; -75.66727;America/Bogota
2357043;Ouahigouya - BF;13.58278; -2.42158;Africa/Ouagadougou
2240449;Luanda - AO;-8.83682; 13.23432;Africa/Luanda
1185281;Bagerhat - BD;22.65657; 89.79123;Asia/Dhaka
3060972;Bratislava - SK;48.14816; 17.10674;Europe/Bratislava
3537906;Santa Clara - CU;22.40694; -79.96472;America/Havana
2944368;Bremerhaven - DE;53.53615; 8.59298;Europe/Berlin
2407790;Kenema - SL;7.87687; -11.19025;Africa/Freetown
2477461;Tebessa - DZ;35.40417; 8.12417;Africa/Algiers
4672989;Beaumont - US;30.08605; -94.10185;America/Chicago
5530022;San Angelo - US;31.46377; -100.43704;America/Chicago
2512989;Palma - ES;39.56939; 2.65024;Europe/Madrid
2516395;Jaen - ES;37.76922; -3.79028;Europe/Madrid
1269605;Jagadhri - IN;30.16719; 77.30367;Asia/Kolkata
3618030;Leon - NI;12.43787; -86.87804;America/Managua
339708;Debre Mark'os - ET;10.35; 37.73333;Africa/Addis_Ababa
2633709;Woking - GB;51.31903; -0.55893;Europe/London
5784607;West Valley City - US;40.69161; -112.00105;America/Denver
64536;Baidoa - SO;3.11383; 43.6498;Africa/Mogadishu
6947640;Beylikduezue - TR;40.982; 28.6399;Europe/Istanbul
11048320;Sector 4 - RO;44.37571; 26.12085;Europe/Bucharest
757026;Tarnow - PL;50.01381; 20.98698;Europe/Warsaw
2224827;Ngaoundere - CM;7.32765; 13.58472;Africa/Douala
204405;Uvira - CD;-3.39534; 29.13779;Africa/Lubumbashi
1846052;Chinju - KR;35.19278; 128.08472;Asia/Seoul
2455558;Kati - ML;12.74409; -8.07257;Africa/Bamako
3171168;Pescara - IT;42.4584; 14.20283;Europe/Rome
1267480;Katihar - IN;25.53852; 87.57044;Asia/Kolkata
94824;Karbala - IQ;32.61603; 44.02488;Asia/Baghdad
281124;Khan Yunis - PS;31.34018; 34.30627;Asia/Gaza
1586350;Cam Ranh - VN;11.92144; 109.15913;Asia/Ho_Chi_Minh
11611487;Tachikawa - JP;35.7091; 139.41891;Asia/Tokyo
1266486;Kishangarh - IN;26.59006; 74.85397;Asia/Kolkata
